filename,id,sheet,extent,creator,title,county,state,sheet number,titledate,date,pubLocation,publisher,description,scale,subjectGeographic,subjectTopic,note,funder,rights,catalogRecord,holdingInst,collection,url,thumbnail
cos07un1.tif,78937142,title page,116,Sanborn Map Company,Insurance maps of Colorado Springs, El Paso County, El Paso County,title page,1907Insurance maps of Colorado Springs,1907,New York,"Sanborn Map Company, 1907",1 map on 116 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Colorado City|Manitou|Colorado Springs,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Each city also has key map.Sheets are numbered 1-113; title page, index map, and sheet no. index are on 3 unnumbered sheets.Originally issued as bound volume.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=70848975,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~103392~125338,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1471/cos07un1.jpg
cos07007.tif,78937142,sh. 7,116,Sanborn Map Company,Insurance maps of Colorado Springs, El Paso County, El Paso County,sh. 7,1907Insurance maps of Colorado Springs,1907,New York,"Sanborn Map Company, 1907",1 map on 116 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Colorado City|Manitou|Colorado Springs,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Each city also has key map.Sheets are numbered 1-113; title page, index map, and sheet no. index are on 3 unnumbered sheets.Originally issued as bound volume.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=70848975,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~103609~125231,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1470/cos07007.jpg
cos07097.tif,78937142,sh. 97,116,Sanborn Map Company,Insurance maps of Colorado Springs, El Paso County, El Paso County,sh. 97,1907Insurance maps of Colorado Springs,1907,New York,"Sanborn Map Company, 1907",1 map on 116 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Colorado City|Manitou|Colorado Springs,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Each city also has key map.Sheets are numbered 1-113; title page, index map, and sheet no. index are on 3 unnumbered sheets.Originally issued as bound volume.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=70848975,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~105769~125321,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1471/cos07097.jpg
cos07098.tif,78937142,sh. 98,116,Sanborn Map Company,Insurance maps of Colorado Springs, El Paso County, El Paso County,sh. 98,1907Insurance maps of Colorado Springs,1907,New York,"Sanborn Map Company, 1907",1 map on 116 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Colorado City|Manitou|Colorado Springs,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Each city also has key map.Sheets are numbered 1-113; title page, index map, and sheet no. index are on 3 unnumbered sheets.Originally issued as bound volume.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=70848975,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~105793~125322,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1471/cos07098.jpg
cos07099.tif,78937142,sh. 99,116,Sanborn Map Company,Insurance maps of Colorado Springs, El Paso County, El Paso County,sh. 99,1907Insurance maps of Colorado Springs,1907,New York,"Sanborn Map Company, 1907",1 map on 116 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Colorado City|Manitou|Colorado Springs,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Each city also has key map.Sheets are numbered 1-113; title page, index map, and sheet no. index are on 3 unnumbered sheets.Originally issued as bound volume.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=70848975,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~105817~125323,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1471/cos07099.jpg
cos07100.tif,78937142,sh. 100,116,Sanborn Map Company,Insurance maps of Colorado Springs, El Paso County, El Paso County,sh. 100,1907Insurance maps of Colorado Springs,1907,New York,"Sanborn Map Company, 1907",1 map on 116 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Colorado City|Manitou|Colorado Springs,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Each city also has key map.Sheets are numbered 1-113; title page, index map, and sheet no. index are on 3 unnumbered sheets.Originally issued as bound volume.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=70848975,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~105841~125324,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1471/cos07100.jpg
cos07101.tif,78937142,sh. 101,116,Sanborn Map Company,Insurance maps of Colorado Springs, El Paso County, El Paso County,sh. 101,1907Insurance maps of Colorado Springs,1907,New York,"Sanborn Map Company, 1907",1 map on 116 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Colorado City|Manitou|Colorado Springs,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Each city also has key map.Sheets are numbered 1-113; title page, index map, and sheet no. index are on 3 unnumbered sheets.Originally issued as bound volume.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=70848975,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~105865~125325,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1471/cos07101.jpg
cos07102.tif,78937142,sh. 102,116,Sanborn Map Company,Insurance maps of Colorado Springs, El Paso County, El Paso County,sh. 102,1907Insurance maps of Colorado Springs,1907,New York,"Sanborn Map Company, 1907",1 map on 116 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Colorado City|Manitou|Colorado Springs,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Each city also has key map.Sheets are numbered 1-113; title page, index map, and sheet no. index are on 3 unnumbered sheets.Originally issued as bound volume.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=70848975,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~105889~125326,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1471/cos07102.jpg
cos07103.tif,78937142,sh. 103,116,Sanborn Map Company,Insurance maps of Colorado Springs, El Paso County, El Paso County,sh. 103,1907Insurance maps of Colorado Springs,1907,New York,"Sanborn Map Company, 1907",1 map on 116 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Colorado City|Manitou|Colorado Springs,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Each city also has key map.Sheets are numbered 1-113; title page, index map, and sheet no. index are on 3 unnumbered sheets.Originally issued as bound volume.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=70848975,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~105913~125327,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1471/cos07103.jpg
cos07104.tif,78937142,sh. 104,116,Sanborn Map Company,Insurance maps of Colorado Springs, El Paso County, El Paso County,sh. 104,1907Insurance maps of Colorado Springs,1907,New York,"Sanborn Map Company, 1907",1 map on 116 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Colorado City|Manitou|Colorado Springs,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Each city also has key map.Sheets are numbered 1-113; title page, index map, and sheet no. index are on 3 unnumbered sheets.Originally issued as bound volume.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=70848975,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~105937~125328,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1471/cos07104.jpg
cos07105.tif,78937142,sh. 105,116,Sanborn Map Company,Insurance maps of Colorado Springs, El Paso County, El Paso County,sh. 105,1907Insurance maps of Colorado Springs,1907,New York,"Sanborn Map Company, 1907",1 map on 116 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Colorado City|Manitou|Colorado Springs,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Each city also has key map.Sheets are numbered 1-113; title page, index map, and sheet no. index are on 3 unnumbered sheets.Originally issued as bound volume.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=70848975,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~105961~125329,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1471/cos07105.jpg
cos07106.tif,78937142,sh. 106,116,Sanborn Map Company,Insurance maps of Colorado Springs, El Paso County, El Paso County,sh. 106,1907Insurance maps of Colorado Springs,1907,New York,"Sanborn Map Company, 1907",1 map on 116 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Colorado City|Manitou|Colorado Springs,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Each city also has key map.Sheets are numbered 1-113; title page, index map, and sheet no. index are on 3 unnumbered sheets.Originally issued as bound volume.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=70848975,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~105985~125330,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1471/cos07106.jpg
cos07008.tif,78937142,sh. 8,116,Sanborn Map Company,Insurance maps of Colorado Springs, El Paso County, El Paso County,sh. 8,1907Insurance maps of Colorado Springs,1907,New York,"Sanborn Map Company, 1907",1 map on 116 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Colorado City|Manitou|Colorado Springs,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Each city also has key map.Sheets are numbered 1-113; title page, index map, and sheet no. index are on 3 unnumbered sheets.Originally issued as bound volume.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=70848975,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~103633~125232,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1470/cos07008.jpg
cos07107.tif,78937142,sh. 107,116,Sanborn Map Company,Insurance maps of Colorado Springs, El Paso County, El Paso County,sh. 107,1907Insurance maps of Colorado Springs,1907,New York,"Sanborn Map Company, 1907",1 map on 116 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Colorado City|Manitou|Colorado Springs,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Each city also has key map.Sheets are numbered 1-113; title page, index map, and sheet no. index are on 3 unnumbered sheets.Originally issued as bound volume.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=70848975,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~106009~125331,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1471/cos07107.jpg
