filename,id,sheet,extent,creator,title,county,state,Volume,sheet number,titledate,date,pubLocation,publisher,description,scale,subjectGeographic,subjectTopic,note,funder,rights,catalogRecord,holdingInst,collection,url,thumbnail
den90un4.tif,80968672,v.2 keymap,43,Sanborn-Perris Map Co,Denver,Denver Co., Colorado. Volume two, v.2 keymap,sh. 1,1890Insurance maps of Denver,1890,New York,"Sanborn-Perris Map Co., 1890","1 map on 43 sheets : col. ; sheets 68 x 92 cm., folded in half and bound",Scale [ca. 1:600] 50 ft. to an inch,Denver,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Sheets are numbered 52-93; title page, key map, and index to sheets are on two unnumbered sheets.1890.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=72485918,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~134555~108647,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1262/den90un4.jpg
den90un3.tif,80968672,v.2 index,43,Sanborn-Perris Map Co,Denver,Denver Co., Colorado. Volume two, v.2 index,index,1890Insurance maps of Denver,1890,New York,"Sanborn-Perris Map Co., 1890","1 map on 43 sheets : col. ; sheets 68 x 92 cm., folded in half and bound",Scale [ca. 1:600] 50 ft. to an inch,Denver,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Sheets are numbered 52-93; title page, key map, and index to sheets are on two unnumbered sheets.1890.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=72485918,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~89792~126414,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1495/den90un3.jpg
den90052.tif,80968672,"v.2, sh. 52",43,Sanborn-Perris Map Co,Denver,Denver Co., Colorado. Volume two, v.2,sh. 52,1890Insurance maps of Denver,1890,New York,"Sanborn-Perris Map Co., 1890","1 map on 43 sheets : col. ; sheets 68 x 92 cm., folded in half and bound",Scale [ca. 1:600] 50 ft. to an inch,Denver,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Sheets are numbered 52-93; title page, key map, and index to sheets are on two unnumbered sheets.1890.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=72485918,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~134574~108760,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1307/den90052.jpg
den90053.tif,80968672,"v.2, sh. 53",43,Sanborn-Perris Map Co,Denver,Denver Co., Colorado. Volume two, v.2,sh. 53,1890Insurance maps of Denver,1890,New York,"Sanborn-Perris Map Co., 1890","1 map on 43 sheets : col. ; sheets 68 x 92 cm., folded in half and bound",Scale [ca. 1:600] 50 ft. to an inch,Denver,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Sheets are numbered 52-93; title page, key map, and index to sheets are on two unnumbered sheets.1890.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=72485918,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~134593~108761,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1307/den90053.jpg
den90054.tif,80968672,"v.2, sh. 54",43,Sanborn-Perris Map Co,Denver,Denver Co., Colorado. Volume two, v.2,sh. 54,1890Insurance maps of Denver,1890,New York,"Sanborn-Perris Map Co., 1890","1 map on 43 sheets : col. ; sheets 68 x 92 cm., folded in half and bound",Scale [ca. 1:600] 50 ft. to an inch,Denver,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Sheets are numbered 52-93; title page, key map, and index to sheets are on two unnumbered sheets.1890.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=72485918,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~134612~108762,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1307/den90054.jpg
den90055.tif,80968672,"v.2, sh. 55",43,Sanborn-Perris Map Co,Denver,Denver Co., Colorado. Volume two, v.2,sh. 55,1890Insurance maps of Denver,1890,New York,"Sanborn-Perris Map Co., 1890","1 map on 43 sheets : col. ; sheets 68 x 92 cm., folded in half and bound",Scale [ca. 1:600] 50 ft. to an inch,Denver,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Sheets are numbered 52-93; title page, key map, and index to sheets are on two unnumbered sheets.1890.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=72485918,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~134631~108763,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1307/den90055.jpg
den90056.tif,80968672,"v.2, sh. 56",43,Sanborn-Perris Map Co,Denver,Denver Co., Colorado. Volume two, v.2,sh. 56,1890Insurance maps of Denver,1890,New York,"Sanborn-Perris Map Co., 1890","1 map on 43 sheets : col. ; sheets 68 x 92 cm., folded in half and bound",Scale [ca. 1:600] 50 ft. to an inch,Denver,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Sheets are numbered 52-93; title page, key map, and index to sheets are on two unnumbered sheets.1890.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=72485918,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~134650~108764,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1307/den90056.jpg
den90057.tif,80968672,"v.2, sh. 57",43,Sanborn-Perris Map Co,Denver,Denver Co., Colorado. Volume two, v.2,sh. 57,1890Insurance maps of Denver,1890,New York,"Sanborn-Perris Map Co., 1890","1 map on 43 sheets : col. ; sheets 68 x 92 cm., folded in half and bound",Scale [ca. 1:600] 50 ft. to an inch,Denver,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Sheets are numbered 52-93; title page, key map, and index to sheets are on two unnumbered sheets.1890.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=72485918,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~134669~108765,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1307/den90057.jpg
den90058.tif,80968672,"v.2, sh. 58",43,Sanborn-Perris Map Co,Denver,Denver Co., Colorado. Volume two, v.2,sh. 58,1890Insurance maps of Denver,1890,New York,"Sanborn-Perris Map Co., 1890","1 map on 43 sheets : col. ; sheets 68 x 92 cm., folded in half and bound",Scale [ca. 1:600] 50 ft. to an inch,Denver,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Sheets are numbered 52-93; title page, key map, and index to sheets are on two unnumbered sheets.1890.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=72485918,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~134688~108766,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1307/den90058.jpg
den90059.tif,80968672,"v.2, sh. 59",43,Sanborn-Perris Map Co,Denver,Denver Co., Colorado. Volume two, v.2,sh. 59,1890Insurance maps of Denver,1890,New York,"Sanborn-Perris Map Co., 1890","1 map on 43 sheets : col. ; sheets 68 x 92 cm., folded in half and bound",Scale [ca. 1:600] 50 ft. to an inch,Denver,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Sheets are numbered 52-93; title page, key map, and index to sheets are on two unnumbered sheets.1890.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=72485918,"Map Library, University Libraries, University of Colorado at Boulder",Discovering Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~134707~108767,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1307/den90059.jpg
