filename,id,sheet,extent,creator,title,county,state,sheet number,titledate,date,pubLocation,publisher,description,scale,subjectGeographic,subjectTopic,note,funder,rights,catalogRecord,holdingInst,collection,url,thumbnail
lon11001.tif,80470429,"keymap/index, sh. 1",12,Sanborn Map Company,Longmont, Boulder County, Colorado,sh. 1,1911Longmont,1911,New York,"Sanborn Map Company, 1911",1 map on 12 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Longmont,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.June 1911.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71272564,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~75729~106951,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1193/lon11001.jpg
lon11010.tif,80470429,sh. 10,12,Sanborn Map Company,Longmont, Boulder County, Colorado,sh. 10,1911Longmont,1911,New York,"Sanborn Map Company, 1911",1 map on 12 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Longmont,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.June 1911.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71272564,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~75892~106960,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1194/lon11010.jpg
lon11011.tif,80470429,sh. 11,12,Sanborn Map Company,Longmont, Boulder County, Colorado,sh. 11,1911Longmont,1911,New York,"Sanborn Map Company, 1911",1 map on 12 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Longmont,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.June 1911.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71272564,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~75910~106961,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1194/lon11011.jpg
lon11012.tif,80470429,sh. 12,12,Sanborn Map Company,Longmont, Boulder County, Colorado,sh. 12,1911Longmont,1911,New York,"Sanborn Map Company, 1911",1 map on 12 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Longmont,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.June 1911.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71272564,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~75928~106962,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1194/lon11012.jpg
lon11002.tif,80470429,sh. 2,12,Sanborn Map Company,Longmont, Boulder County, Colorado,sh. 2,1911Longmont,1911,New York,"Sanborn Map Company, 1911",1 map on 12 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Longmont,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.June 1911.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71272564,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~75748~106952,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1193/lon11002.jpg
lon11003.tif,80470429,sh. 3,12,Sanborn Map Company,Longmont, Boulder County, Colorado,sh. 3,1911Longmont,1911,New York,"Sanborn Map Company, 1911",1 map on 12 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Longmont,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.June 1911.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71272564,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~75766~106953,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1193/lon11003.jpg
lon11004.tif,80470429,sh. 4,12,Sanborn Map Company,Longmont, Boulder County, Colorado,sh. 4,1911Longmont,1911,New York,"Sanborn Map Company, 1911",1 map on 12 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Longmont,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.June 1911.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71272564,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~75784~106954,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1193/lon11004.jpg
lon11005.tif,80470429,sh. 5,12,Sanborn Map Company,Longmont, Boulder County, Colorado,sh. 5,1911Longmont,1911,New York,"Sanborn Map Company, 1911",1 map on 12 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Longmont,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.June 1911.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71272564,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~75802~106955,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1193/lon11005.jpg
lon11006.tif,80470429,sh. 6,12,Sanborn Map Company,Longmont, Boulder County, Colorado,sh. 6,1911Longmont,1911,New York,"Sanborn Map Company, 1911",1 map on 12 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Longmont,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.June 1911.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71272564,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~75820~106956,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1193/lon11006.jpg
lon11007.tif,80470429,sh. 7,12,Sanborn Map Company,Longmont, Boulder County, Colorado,sh. 7,1911Longmont,1911,New York,"Sanborn Map Company, 1911",1 map on 12 sheets : col. ; sheets 64 x 54 cm,Scale [ca. 1:600] 50 ft. to an inch,Longmont,Fire insurance,"Shows building construction by hand coloring, locations of windows and doors, and available water facilities.Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.June 1911.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.Microfilm edition known as: Sanborn fire insurance maps. Colorado.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71272564,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Maps Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~75838~106957,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1193/lon11007.jpg
