filename,id,sheet,extent,creator,title,county,state,sheet number,titledate,date,pubLocation,publisher,description,scale,subjectGeographic,subjectTopic,note,funder,rights,catalogRecord,holdingInst,collection,url,thumbnail
pue93un1.tif,78830576,title page/index,54,Sanborn-Perris Map Co,Insurance maps of Pueblo, Pueblo County, Colorado,title page/index,1893Insurance maps of Pueblo,1893,New York,"Sanborn-Perris Map Co., 1893",1 map on 54 sheets : col. ; sheets 64 x 54 cm,Scale [1:600] 50 ft. to an inch,Pueblo,Fire insurance,"Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Shows building construction by hand coloring, loc1ations of windows and doors, and available water facilities.Originally issued as bound volume?.Sheets are numbered 1-52; title page and key map are on two unnumbered sheets.Covers Pueblo, North Pueblo, South Pueblo, East Pueblo, Bessemer, and Overton.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,"http://libraries.colorado.edu/search/o?SEARCH=71305478"">","Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Map Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~132470~127236,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1504/pue93un1.jpg
pue93008.tif,78830576,sh. 8,54,Sanborn-Perris Map Co,Insurance maps of Pueblo, Pueblo County, Colorado,sh. 8,1893Insurance maps of Pueblo,1893,New York,"Sanborn-Perris Map Co., 1893",1 map on 54 sheets : col. ; sheets 64 x 54 cm,Scale [1:600] 50 ft. to an inch,Pueblo,Fire insurance,"Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Shows building construction by hand coloring, loc1ations of windows and doors, and available water facilities.Originally issued as bound volume?.Sheets are numbered 1-52; title page and key map are on two unnumbered sheets.Covers Pueblo, North Pueblo, South Pueblo, East Pueblo, Bessemer, and Overton.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71305478,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Map Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~132630~127191,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1504/pue93008.jpg
pue93009.tif,78830576,sh. 9,54,Sanborn-Perris Map Co,Insurance maps of Pueblo, Pueblo County, Colorado,sh. 9,1893Insurance maps of Pueblo,1893,New York,"Sanborn-Perris Map Co., 1893",1 map on 54 sheets : col. ; sheets 64 x 54 cm,Scale [1:600] 50 ft. to an inch,Pueblo,Fire insurance,"Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Shows building construction by hand coloring, loc1ations of windows and doors, and available water facilities.Originally issued as bound volume?.Sheets are numbered 1-52; title page and key map are on two unnumbered sheets.Covers Pueblo, North Pueblo, South Pueblo, East Pueblo, Bessemer, and Overton.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71305478,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Map Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~132650~127192,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1504/pue93009.jpg
pue93010.tif,78830576,sh. 10,54,Sanborn-Perris Map Co,Insurance maps of Pueblo, Pueblo County, Colorado,sh. 10,1893Insurance maps of Pueblo,1893,New York,"Sanborn-Perris Map Co., 1893",1 map on 54 sheets : col. ; sheets 64 x 54 cm,Scale [1:600] 50 ft. to an inch,Pueblo,Fire insurance,"Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Shows building construction by hand coloring, loc1ations of windows and doors, and available water facilities.Originally issued as bound volume?.Sheets are numbered 1-52; title page and key map are on two unnumbered sheets.Covers Pueblo, North Pueblo, South Pueblo, East Pueblo, Bessemer, and Overton.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71305478,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Map Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~132670~127193,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1504/pue93010.jpg
pue93011.tif,78830576,sh. 11,54,Sanborn-Perris Map Co,Insurance maps of Pueblo, Pueblo County, Colorado,sh. 11,1893Insurance maps of Pueblo,1893,New York,"Sanborn-Perris Map Co., 1893",1 map on 54 sheets : col. ; sheets 64 x 54 cm,Scale [1:600] 50 ft. to an inch,Pueblo,Fire insurance,"Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Shows building construction by hand coloring, loc1ations of windows and doors, and available water facilities.Originally issued as bound volume?.Sheets are numbered 1-52; title page and key map are on two unnumbered sheets.Covers Pueblo, North Pueblo, South Pueblo, East Pueblo, Bessemer, and Overton.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71305478,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Map Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~132690~127194,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1504/pue93011.jpg
pue93012.tif,78830576,sh. 12,54,Sanborn-Perris Map Co,Insurance maps of Pueblo, Pueblo County, Colorado,sh. 12,1893Insurance maps of Pueblo,1893,New York,"Sanborn-Perris Map Co., 1893",1 map on 54 sheets : col. ; sheets 64 x 54 cm,Scale [1:600] 50 ft. to an inch,Pueblo,Fire insurance,"Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Shows building construction by hand coloring, loc1ations of windows and doors, and available water facilities.Originally issued as bound volume?.Sheets are numbered 1-52; title page and key map are on two unnumbered sheets.Covers Pueblo, North Pueblo, South Pueblo, East Pueblo, Bessemer, and Overton.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71305478,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Map Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~132710~127195,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1504/pue93012.jpg
pue93013.tif,78830576,sh. 13,54,Sanborn-Perris Map Co,Insurance maps of Pueblo, Pueblo County, Colorado,sh. 13,1893Insurance maps of Pueblo,1893,New York,"Sanborn-Perris Map Co., 1893",1 map on 54 sheets : col. ; sheets 64 x 54 cm,Scale [1:600] 50 ft. to an inch,Pueblo,Fire insurance,"Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Shows building construction by hand coloring, loc1ations of windows and doors, and available water facilities.Originally issued as bound volume?.Sheets are numbered 1-52; title page and key map are on two unnumbered sheets.Covers Pueblo, North Pueblo, South Pueblo, East Pueblo, Bessemer, and Overton.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71305478,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Map Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~132730~127196,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1504/pue93013.jpg
pue93014.tif,78830576,sh. 14,54,Sanborn-Perris Map Co,Insurance maps of Pueblo, Pueblo County, Colorado,sh. 14,1893Insurance maps of Pueblo,1893,New York,"Sanborn-Perris Map Co., 1893",1 map on 54 sheets : col. ; sheets 64 x 54 cm,Scale [1:600] 50 ft. to an inch,Pueblo,Fire insurance,"Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Shows building construction by hand coloring, loc1ations of windows and doors, and available water facilities.Originally issued as bound volume?.Sheets are numbered 1-52; title page and key map are on two unnumbered sheets.Covers Pueblo, North Pueblo, South Pueblo, East Pueblo, Bessemer, and Overton.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71305478,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Map Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~132750~127197,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1504/pue93014.jpg
pue93015.tif,78830576,sh. 15,54,Sanborn-Perris Map Co,Insurance maps of Pueblo, Pueblo County, Colorado,sh. 15,1893Insurance maps of Pueblo,1893,New York,"Sanborn-Perris Map Co., 1893",1 map on 54 sheets : col. ; sheets 64 x 54 cm,Scale [1:600] 50 ft. to an inch,Pueblo,Fire insurance,"Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Shows building construction by hand coloring, loc1ations of windows and doors, and available water facilities.Originally issued as bound volume?.Sheets are numbered 1-52; title page and key map are on two unnumbered sheets.Covers Pueblo, North Pueblo, South Pueblo, East Pueblo, Bessemer, and Overton.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71305478,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Map Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~132770~127198,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1504/pue93015.jpg
pue93016.tif,78830576,sh. 16,54,Sanborn-Perris Map Co,Insurance maps of Pueblo, Pueblo County, Colorado,sh. 16,1893Insurance maps of Pueblo,1893,New York,"Sanborn-Perris Map Co., 1893",1 map on 54 sheets : col. ; sheets 64 x 54 cm,Scale [1:600] 50 ft. to an inch,Pueblo,Fire insurance,"Shows factories, commercial and religious occupancy of buildings, dwellings with property boundaries and house and block numbers.Microfilm edition known as: Sanborn fire insurance maps. Colorado.Shows building construction by hand coloring, loc1ations of windows and doors, and available water facilities.Originally issued as bound volume?.Sheets are numbered 1-52; title page and key map are on two unnumbered sheets.Covers Pueblo, North Pueblo, South Pueblo, East Pueblo, Bessemer, and Overton.Historical maps of neighborhoods, detailed at the block and building level, showing residential, commercial, and industrial uses of site, building footprints, potential environmental hazards, and construction details of structures.Includes notes on population, water facilities, fire department, and prevailing winds.",This project was funded in part through a Library Services and Technology Act (LSTA) grant administered by the Colorado State Library and in part by the Friends of the Libraries,https://rightsstatements.org/page/NoC-NC/1.0/?language=en,http://libraries.colorado.edu/search/o?SEARCH=71305478,"Map Library, University Libraries, University of Colorado at Boulder",Building Colorado Story by Story: The Sanborn Fire Insurance Map Collection,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~21~21~132790~127199,https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-21-NA/1504/pue93016.jpg
